Movie title,Year,Category
The Brutalist,2024,Best Actor
Anora,2024,Best Actress
A Real Pain,2024,Best Supporting Actor
Emilia Perez,2024,Best Supporting Actress
Anora,2024,Best Director
Conclave,2024,Best Adapted Screenplay
Flow,2024,Best Animated Feature
The Brutalist,2024,Best Cinematography (Color)
Anora,2024,Best Film Editing
Elmer Gantry,1960,Best Actor
BUtterfield 8,1960,Best Actress
Spartacus,1960,Best Supporting Actor
Elmer Gantry,1960,Best Supporting Actress
The Apartment,1960,Best Director
Elmer Gantry,1960,Best Adapted Screenplay
The Apartment,1960,Best Original Screenplay
Sons and Lovers,1960,Best Cinematography (Black and White)
Spartacus,1960,Best Cinematography (Color)
The Apartment,1960,Best Film Editing
West Side Story,1961,Best Picture
Judgment at Nuremberg,1961,Best Actor
Two Women,1961,Best Actress
West Side Story,1961,Best Supporting Actor
West Side Story,1961,Best Supporting Actress
West Side Story,1961,Best Director
Judgment at Nuremberg,1961,Best Adapted Screenplay
Splendor in the Grass,1961,Best Original Screenplay
The Hustler,1961,Best Cinematography (Black and White)
West Side Story,1961,Best Cinematography (Color)
West Side Story,1961,Best Film Editing
Lawrence of Arabia,1962,Best Picture
To Kill a Mockingbird,1962,Best Actor
The Miracle Worker,1962,Best Actress
Sweet Bird of Youth,1962,Best Supporting Actor
The Miracle Worker,1962,Best Supporting Actress
Lawrence of Arabia,1962,Best Director
To Kill a Mockingbird,1962,Best Adapted Screenplay
"Divorce, Italian Style",1962,Best Original Screenplay
The Longest Day,1962,Best Cinematography (Black and White)
Lawrence of Arabia,1962,Best Cinematography (Color)
Lawrence of Arabia,1962,Best Film Editing
Tom Jones,1963,Best Picture
Lilies of the Field,1963,Best Actor
Hud,1963,Best Actress
Hud,1963,Best Supporting Actor
The V.I.P.s,1963,Best Supporting Actress
Tom Jones,1963,Best Director
Tom Jones,1963,Best Adapted Screenplay
How the West Was Won,1963,Best Original Screenplay
Hud,1963,Best Cinematography (Black and White)
Cleopatra,1963,Best Cinematography (Color)
How the West Was Won,1963,Best Film Editing
My Fair Lady,1964,Best Picture
My Fair Lady,1964,Best Actor
Mary Poppins,1964,Best Actress
Topkapi,1964,Best Supporting Actor
Zorba the Greek,1964,Best Supporting Actress
My Fair Lady,1964,Best Director
Becket,1964,Best Adapted Screenplay
Father Goose,1964,Best Original Screenplay
Zorba the Greek,1964,Best Cinematography (Black and White)
My Fair Lady,1964,Best Cinematography (Color)
Mary Poppins,1964,Best Film Editing
The Sound of Music,1965,Best Picture
Cat Ballou,1965,Best Actor
Darling,1965,Best Actress
A Thousand Clowns,1965,Best Supporting Actor
A Patch of Blue,1965,Best Supporting Actress
The Sound of Music,1965,Best Director
Doctor Zhivago,1965,Best Adapted Screenplay
Darling,1965,Best Original Screenplay
Ship of Fools,1965,Best Cinematography (Black and White)
Doctor Zhivago,1965,Best Cinematography (Color)
The Sound of Music,1965,Best Film Editing
All Seasons,1966,Best Picture
All Seasons,1966,Best Actor
Who's Afraid of Virginia Woolf?,1966,Best Actress
The Fortune Cookie,1966,Best Supporting Actor
Who's Afraid of Virginia Woolf?,1966,Best Supporting Actress
All Seasons,1966,Best Director
All Seasons,1966,Best Adapted Screenplay
A Man and a Woman,1966,Best Original Screenplay
Who's Afraid of Virginia Woolf?,1966,Best Cinematography (Black and White)
All Seasons,1966,Best Cinematography (Color)
Grand Prix,1966,Best Film Editing
In the Heat of the Night,1967,Best Picture
In the Heat of the Night,1967,Best Actor
Guess Who's Coming to Dinner,1967,Best Actress
Cool Hand Luke,1967,Best Supporting Actor
Bonnie and Clyde,1967,Best Supporting Actress
The Graduate,1967,Best Director
In the Heat of the Night,1967,Best Adapted Screenplay
Guess Who's Coming to Dinner,1967,Best Original Screenplay
Bonnie and Clyde,1967,Best Cinematography (Color)
In the Heat of the Night,1967,Best Film Editing
Oliver!,1968,Best Picture
Charly,1968,Best Actor
Funny Girl,1968,Best Actress
The Subject Was Roses,1968,Best Supporting Actor
Rosemary's Baby,1968,Best Supporting Actress
Oliver!,1968,Best Director
The Lion in Winter,1968,Best Adapted Screenplay
The Producers,1968,Best Original Screenplay
Romeo and Juliet,1968,Best Cinematography (Color)
Bullitt,1968,Best Film Editing
